	MMLTSSF1L	MMLTSSF1L
30/10/2024 04:47:00 p. m.	?T	?I
Time	°C	°C
30/10/2024  16:48:00.809	58.90	26.30
30/10/2024  16:48:00.930	58.90	26.30
30/10/2024  16:48:01.052	58.80	26.30
30/10/2024  16:48:01.173	58.80	26.30
30/10/2024  16:48:01.296	58.80	26.30
30/10/2024  16:48:01.418	58.80	26.30
30/10/2024  16:48:01.540	58.70	26.30
30/10/2024  16:48:01.661	58.70	26.30
30/10/2024  16:48:01.783	58.60	26.30
30/10/2024  16:48:01.904	58.60	26.30
30/10/2024  16:48:02.025	58.60	26.30
30/10/2024  16:48:02.147	58.60	26.30
30/10/2024  16:48:02.269	58.60	26.30
30/10/2024  16:48:02.390	58.60	26.30
30/10/2024  16:48:02.512	58.50	26.30
30/10/2024  16:48:02.633	58.50	26.30
30/10/2024  16:48:02.756	58.40	26.30
30/10/2024  16:48:02.877	58.40	26.30
30/10/2024  16:48:02.998	58.30	26.30
30/10/2024  16:48:03.120	58.30	26.30
30/10/2024  16:48:03.242	58.30	26.30
30/10/2024  16:48:03.363	58.30	26.30
30/10/2024  16:48:03.485	58.30	26.30
30/10/2024  16:48:03.606	58.30	26.30
30/10/2024  16:48:03.728	58.20	26.30
30/10/2024  16:48:03.849	58.20	26.30
30/10/2024  16:48:03.971	58.10	26.30
30/10/2024  16:48:04.091	58.10	26.30
30/10/2024  16:48:04.213	58.10	26.30
30/10/2024  16:48:04.335	58.10	26.30
30/10/2024  16:48:04.458	57.90	26.30
30/10/2024  16:48:04.580	57.90	26.30
30/10/2024  16:48:04.702	57.80	26.30
30/10/2024  16:48:04.823	57.80	26.30
30/10/2024  16:48:04.944	57.80	26.30
30/10/2024  16:48:05.065	57.80	26.30
30/10/2024  16:48:05.187	57.50	26.30
30/10/2024  16:48:05.309	57.50	26.30
30/10/2024  16:48:05.430	57.30	26.30
30/10/2024  16:48:05.551	57.30	26.30
30/10/2024  16:48:05.674	57.20	26.30
30/10/2024  16:48:05.795	57.20	26.30
30/10/2024  16:48:05.916	57.10	26.30
30/10/2024  16:48:06.037	57.10	26.30
30/10/2024  16:48:06.159	57.10	26.30
30/10/2024  16:48:06.280	57.10	26.30
30/10/2024  16:48:06.402	56.90	26.30
30/10/2024  16:48:06.523	56.90	26.30
30/10/2024  16:48:06.644	56.90	26.30
30/10/2024  16:48:06.765	56.90	26.30
30/10/2024  16:48:06.887	56.80	26.30
30/10/2024  16:48:07.008	56.80	26.30
30/10/2024  16:48:07.130	56.60	26.30
30/10/2024  16:48:07.253	56.60	26.30
30/10/2024  16:48:07.375	56.30	26.30
30/10/2024  16:48:07.496	56.30	26.30
30/10/2024  16:48:07.617	56.10	26.30
30/10/2024  16:48:07.739	56.10	26.30
30/10/2024  16:48:07.860	55.80	26.30
30/10/2024  16:48:07.982	55.80	26.30
30/10/2024  16:48:08.103	55.70	26.30
30/10/2024  16:48:08.224	55.70	26.30
30/10/2024  16:48:08.345	55.60	26.30
30/10/2024  16:48:08.466	55.60	26.30
30/10/2024  16:48:08.588	55.50	26.30
30/10/2024  16:48:08.709	55.50	26.30
30/10/2024  16:48:08.830	55.50	26.30
30/10/2024  16:48:08.952	55.50	26.30
30/10/2024  16:48:09.074	55.50	26.30
30/10/2024  16:48:09.196	55.50	26.30
30/10/2024  16:48:09.317	55.60	26.30
30/10/2024  16:48:09.439	55.60	26.30
30/10/2024  16:48:09.560	55.80	26.30
30/10/2024  16:48:09.682	55.80	26.30
30/10/2024  16:48:09.803	55.90	26.30
30/10/2024  16:48:09.925	55.90	26.30
30/10/2024  16:48:10.046	55.90	26.30
30/10/2024  16:48:10.168	55.90	26.30
30/10/2024  16:48:10.289	55.90	26.30
30/10/2024  16:48:10.411	55.90	26.30
30/10/2024  16:48:10.533	55.90	26.30
30/10/2024  16:48:10.654	55.90	26.30
30/10/2024  16:48:10.775	55.90	26.30
30/10/2024  16:48:10.897	55.90	26.30
30/10/2024  16:48:11.019	55.90	26.30
30/10/2024  16:48:11.143	55.90	26.30
30/10/2024  16:48:11.264	55.90	26.30
30/10/2024  16:48:11.385	55.90	26.30
30/10/2024  16:48:11.506	55.90	26.30
30/10/2024  16:48:11.627	55.90	26.30
30/10/2024  16:48:11.748	55.90	26.30
30/10/2024  16:48:11.870	55.90	26.30
30/10/2024  16:48:11.992	55.80	26.30
30/10/2024  16:48:12.112	55.80	26.30
30/10/2024  16:48:12.234	55.80	26.30
30/10/2024  16:48:12.356	55.80	26.30
30/10/2024  16:48:12.477	55.80	26.30
30/10/2024  16:48:12.599	55.80	26.30
30/10/2024  16:48:12.720	55.60	26.30
30/10/2024  16:48:12.841	55.60	26.30
30/10/2024  16:48:12.963	55.60	26.30
30/10/2024  16:48:13.086	55.60	26.30
30/10/2024  16:48:13.208	55.60	26.30
30/10/2024  16:48:13.329	55.60	26.30
30/10/2024  16:48:13.451	55.50	26.30
